beta,gamma,rho,sigma
-1.0,1.0,-1.0,0.0
-1.0,1.0,-1.0,0.0
-1.0,1.0,-1.0,0.0
-1.0,0.9,-0.9,0.0
-1.0,0.9,-0.9,0.0
-1.0,0.9,-0.8,0.0
-1.0,0.9,-0.8,0.0
-1.0,0.9,-0.8,0.0
-1.0,0.8,-0.7,-1.11022302463e-16
-1.0,0.8,-0.6,-1.11022302463e-16
-1.0,0.8,-0.6,-1.11022302463e-16
-1.0,0.8,-0.6,-1.11022302463e-16
-1.0,0.7,-0.5,0.0
-1.0,0.7,-0.5,0.0
-1.0,0.6,-0.4,-1.11022302463e-16
-1.0,0.6,-0.4,-1.11022302463e-16
-1.0,0.5,-0.3,-1.11022302463e-16
-1.0,0.5,-0.2,-5.55111512313e-17
-1.0,0.5,-0.2,-5.55111512313e-17
-1.0,0.5,-0.2,-5.55111512313e-17
-1.0,1.0,-0.1,-0.1
-1.0,1.0,-0.1,-0.1
-1.0,1.0,0.0,-0.1
-1.0,1.0,0.0,-0.1
-1.0,1.0,0.0,-0.1
-1.0,0.9,0.0,-0.1
-1.0,0.9,0.0,-0.1
-1.0,1.0,0.5,-0.8
-1.0,1.0,0.6,-1.1
-1.0,1.0,0.7,-1.5
-1.0,1.0,0.8,-2.0
-1.0,1.0,0.8,-2.1
-1.0,1.0,0.9,-2.6
-1.0,1.0,0.9,-2.6
-1.0,1.0,0.9,-2.7
-1.0,1.0,0.9,-2.7
-1.0,1.0,0.9,-2.8
-1.0,1.0,0.9,-2.9
-0.9,0.6939,-0.9,0.0448271774289
-0.9,0.6939,-0.9,0.0448271774289
-0.9,0.9639,-0.8,-0.0231013414471
-0.9,0.9639,-0.8,-0.0231013414471
-0.9,0.9639,-0.8,-0.0231013414471
-0.9,0.6939,-0.8,0.0260104131973
-0.9,0.9639,-0.7,-0.0419181056787
-0.9,0.9639,-0.7,-0.0419181056787
-0.9,0.9639,-0.7,-0.0419181056787
-0.9,0.9639,-0.6,-0.0607348699103
-0.9,0.9639,-0.6,-0.0607348699103
-0.9,0.9639,-0.5,-0.0795516341419
-0.9,0.9639,-0.5,-0.0795516341419
-0.9,0.9639,-0.5,-0.0795516341419
-0.9,0.9639,-0.4,-0.0983683983735
-0.9,0.9639,-0.4,-0.0983683983735
-0.9,0.9639,-0.4,-0.0983683983735
-0.9,0.9639,-0.3,-0.117185162605
