beta,gamma,rho,sigma,b0,q0
-1.0,1.0,-1.0,0.9,0.0,0.1
-1.0,1.0,-1.0,0.9,0.0,0.1
-1.0,1.0,-0.9,0.8,0.0,0.1
-1.0,1.0,-0.9,0.8,0.0,0.1
-1.0,1.0,-0.9,0.8,0.0,0.1
-0.9,0.9639,-1.0,1.87739184594,0.0,0.1
-0.9,0.9639,-0.9,1.68922420363,0.0,0.1
-0.9,0.9639,-0.9,1.68922420363,0.0,0.1
-0.9,0.9639,-0.9,1.68922420363,0.0,0.1
-0.9,0.9639,-0.8,1.50105656131,0.0,0.1
-0.9,0.9639,-0.8,1.50105656131,0.0,0.1
-0.9,0.9639,-0.8,1.50105656131,0.0,0.1
-0.8,0.8704,-0.8,3.69580078125,0.0,0.1
-0.8,0.8704,-0.8,3.69580078125,0.0,0.1
-0.8,0.8704,-0.7,3.31433105469,0.0,0.1
-0.8,0.8704,-0.7,3.31433105469,0.0,0.1
-0.8,0.8704,-0.7,3.31433105469,0.0,0.1
-0.7,0.7399,-0.6,7.75482154544,0.0,0.1
-0.7,0.7399,-0.6,7.75482154544,0.0,0.1
-0.7,0.7399,-0.5,6.90483557021,0.0,0.1
-0.7,0.7399,-0.5,6.90483557021,0.0,0.1
-0.7,0.7399,-0.5,6.90483557021,0.0,0.1
-0.7,0.7399,-0.5,6.90483557021,0.0,0.1
-0.6,0.5904,-0.5,18.9122085048,0.0,0.1
-0.6,0.5904,-0.4,16.768861454,0.0,0.1
-0.6,0.5904,-0.4,16.768861454,0.0,0.1
-0.6,0.5904,-0.3,14.6255144033,0.0,0.1
-0.6,0.5904,-0.3,14.6255144033,0.0,0.1
-0.6,0.5904,-0.3,14.6255144033,0.0,0.1
-0.5,0.4375,-0.3,43.0,0.0,0.1
-0.5,0.4375,-0.2,36.6,0.0,0.1
-0.5,0.4375,-0.2,36.6,0.0,0.1
-0.5,0.4375,-0.2,36.6,0.0,0.1
-0.4,0.2944,-0.2,121.75,0.0,0.1
-0.4,0.2944,-0.1,97.3359375,0.0,0.1
-0.4,0.2944,-0.1,97.3359375,0.0,0.1
-0.4,0.2944,-0.1,97.3359375,0.0,0.1
