e,rc,rp,gamma,up,uc,vc
-1.0,0.1,-0.8,-0.4,-0.1536,-0.4904,0.5706176
-1.0,0.15,-0.8,-0.4,-0.1536,-0.4904,0.5706176
-1.0,0.1,-0.6,-0.3,-0.0648,-0.49595,0.54017195
-0.9,0.18,-1.0,-0.6,-0.3,-0.65712,0.55370688
-0.9,0.24,-1.0,-0.6,-0.3,-0.65712,0.55370688
-0.9,0.3,-1.0,-0.6,-0.3,-0.65712,0.55370688
-0.9,0.114285714286,-0.7,-0.4,-0.1029,-0.593110204082,0.53088891895
-0.9,0.171428571429,-0.7,-0.4,-0.1029,-0.593110204082,0.53088891895
-0.8,0.28,-1.0,-0.7,-0.3,-0.79597,0.64782277
-0.8,0.35,-1.0,-0.7,-0.3,-0.79597,0.64782277
-0.8,0.42,-1.0,-0.7,-0.3,-0.79597,0.64782277
-0.8,0.266666666667,-0.9,-0.6,-0.2187,-0.712355555556,0.66043282963
-0.8,0.333333333333,-0.9,-0.6,-0.2187,-0.712355555556,0.66043282963
-0.8,0.12,-0.5,-0.3,-0.0375,-0.54714,0.87471834
-0.7,0.36,-1.0,-0.9,-0.3,-1.17117,0.77098293
-0.7,0.45,-1.0,-0.9,-0.3,-1.17117,0.77098293
-0.7,0.54,-1.0,-0.9,-0.3,-1.17117,0.77098293
-0.7,0.63,-1.0,-0.9,-0.3,-1.17117,0.77098293
-0.7,0.72,-1.0,-0.9,-0.3,-1.17117,0.77098293
-0.7,0.3,-0.8,-0.6,-0.1536,-0.7764,0.8046786
-0.6,0.555555555556,-0.9,-1.0,-0.2187,-1.51851851852,0.996296296296
-0.6,0.666666666667,-0.9,-1.0,-0.2187,-1.51851851852,0.996296296296
-0.6,0.777777777778,-0.9,-1.0,-0.2187,-1.51851851852,0.996296296296
-0.6,0.888888888889,-0.9,-1.0,-0.2187,-1.51851851852,0.996296296296
-0.6,0.6,-0.9,-0.9,-0.2187,-1.1813,1.0611677
-0.6,0.4,-0.8,-0.8,-0.1536,-1.2464,0.8179264
-0.6,0.5,-0.8,-0.8,-0.1536,-1.2464,0.8179264
-0.6,0.6,-0.8,-0.8,-0.1536,-1.2464,0.8179264
-0.6,0.7,-0.8,-0.8,-0.1536,-1.2464,0.8179264
-0.5,0.514285714286,-0.7,-0.9,-0.1029,-1.73922244898,0.979263427697
-0.5,0.642857142857,-0.7,-0.9,-0.1029,-1.73922244898,0.979263427697
-0.5,0.771428571429,-0.7,-0.9,-0.1029,-1.73922244898,0.979263427697
-0.5,0.9,-0.7,-0.9,-0.1029,-1.73922244898,0.979263427697
-0.5,1.02857142857,-0.7,-0.9,-0.1029,-1.73922244898,0.979263427697
-0.5,0.571428571429,-0.7,-0.8,-0.1029,-1.29384489796,1.18840334927
-0.5,0.35,-0.6,-0.7,-0.0648,-1.43550555556,0.827502394444
-0.5,0.466666666667,-0.6,-0.7,-0.0648,-1.43550555556,0.827502394444
-0.5,0.583333333333,-0.6,-0.7,-0.0648,-1.43550555556,0.827502394444
-0.5,0.7,-0.6,-0.7,-0.0648,-1.43550555556,0.827502394444
-0.5,0.2,-0.4,-0.4,-0.0192,-0.9808,1.1412352
-0.5,0.3,-0.4,-0.4,-0.0192,-0.9808,1.1412352
-0.5,0.2,-0.3,-0.3,-0.0081,-0.9919,1.0803439
-0.4,0.833333333333,-0.6,-1.0,-0.0648,-2.27777777778,1.49444444444
-0.4,1.0,-0.6,-1.0,-0.0648,-2.27777777778,1.49444444444
-0.4,1.16666666667,-0.6,-1.0,-0.0648,-2.27777777778,1.49444444444
-0.4,1.33333333333,-0.6,-1.0,-0.0648,-2.27777777778,1.49444444444
-0.4,0.9,-0.6,-0.9,-0.0648,-1.77195,1.59175155
-0.4,0.56,-0.5,-0.7,-0.0375,-1.59194,1.29564554
-0.4,0.7,-0.5,-0.7,-0.0375,-1.59194,1.29564554
-0.4,0.84,-0.5,-0.7,-0.0375,-1.59194,1.29564554
-0.3,0.8,-0.4,-0.8,-0.0192,-2.4928,1.6358528
