e,rc,rp,gamma,up,uc,vc,vp
-1.0,0.025,-0.8,-0.2,-0.3072,-0.1238,0.1339616,-0.196608
-0.9,0.06,-1.0,-0.3,-0.6,-0.16914,0.11303808,-0.6
-0.9,0.0285714285714,-0.7,-0.2,-0.2058,-0.149648979592,0.122199846064,-0.100842
-0.8,0.0666666666667,-0.9,-0.3,-0.4374,-0.183488888889,0.137618607407,-0.354294
-0.7,0.12,-1.0,-0.4,-0.6,-0.23264,0.16865792,-0.6
-0.7,0.075,-0.8,-0.3,-0.3072,-0.200175,0.17125635,-0.196608
-0.6,0.5,-1.0,-1.0,-0.6,-1.3,0.92,-0.6
-0.6,0.6,-1.0,-1.0,-0.6,-1.3,0.92,-0.6
-0.6,0.7,-1.0,-1.0,-0.6,-1.3,0.92,-0.6
-0.6,0.8,-1.0,-1.0,-0.6,-1.3,0.92,-0.6
-0.6,0.15,-1.0,-0.5,-0.6,-0.3125,0.22,-0.6
-0.6,0.2,-1.0,-0.5,-0.6,-0.3125,0.22,-0.6
-0.6,0.0857142857143,-0.7,-0.3,-0.2058,-0.219587755102,0.218996907289,-0.100842
-0.5,0.5,-0.9,-0.9,-0.4374,-1.0626,0.736898133333,-0.354294
-0.5,0.6,-0.9,-0.9,-0.4374,-1.0626,0.736898133333,-0.354294
-0.5,0.7,-0.9,-0.9,-0.4374,-1.0626,0.736898133333,-0.354294
-0.5,0.233333333333,-0.9,-0.7,-0.4374,-0.660920987654,0.330089257613,-0.354294
-0.5,0.311111111111,-0.9,-0.7,-0.4374,-0.660920987654,0.330089257613,-0.354294
-0.5,0.388888888889,-0.9,-0.7,-0.4374,-0.660920987654,0.330089257613,-0.354294
-0.5,0.466666666667,-0.9,-0.7,-0.4374,-0.660920987654,0.330089257613,-0.354294
-0.5,0.2,-0.9,-0.6,-0.4374,-0.469155555556,0.298079762963,-0.354294
-0.5,0.266666666667,-0.9,-0.6,-0.4374,-0.469155555556,0.298079762963,-0.354294
-0.5,0.333333333333,-0.9,-0.6,-0.4374,-0.469155555556,0.298079762963,-0.354294
-0.5,0.1875,-0.8,-0.5,-0.3072,-0.421875,0.22109375,-0.196608
-0.5,0.25,-0.8,-0.5,-0.3072,-0.421875,0.22109375,-0.196608
-0.5,0.114285714286,-0.7,-0.4,-0.2058,-0.345404081633,0.213774404665,-0.100842
-0.5,0.171428571429,-0.7,-0.4,-0.2058,-0.345404081633,0.213774404665,-0.100842
-0.5,0.05,-0.4,-0.2,-0.0384,-0.2476,0.2679232,-0.006144
-0.4,0.857142857143,-0.7,-1.0,-0.2058,-1.69387755102,1.47172011662,-0.100842
-0.4,1.0,-0.7,-1.0,-0.2058,-1.69387755102,1.47172011662,-0.100842
-0.4,0.514285714286,-0.7,-0.9,-0.2058,-1.43966938776,0.867386812828,-0.100842
-0.4,0.642857142857,-0.7,-0.9,-0.2058,-1.43966938776,0.867386812828,-0.100842
-0.4,0.771428571429,-0.7,-0.9,-0.2058,-1.43966938776,0.867386812828,-0.100842
-0.4,0.9,-0.7,-0.9,-0.2058,-1.43966938776,0.867386812828,-0.100842
-0.4,0.257142857143,-0.7,-0.6,-0.2058,-0.635853061224,0.334822474636,-0.100842
-0.4,0.342857142857,-0.7,-0.6,-0.2058,-0.635853061224,0.334822474636,-0.100842
-0.4,0.428571428571,-0.7,-0.6,-0.2058,-0.635853061224,0.334822474636,-0.100842
-0.3,1.0,-0.5,-1.0,-0.075,-2.6,1.84,-0.01875
-0.3,1.2,-0.5,-1.0,-0.075,-2.6,1.84,-0.01875
-0.3,1.4,-0.5,-1.0,-0.075,-2.6,1.84,-0.01875
-0.3,1.6,-0.5,-1.0,-0.075,-2.6,1.84,-0.01875
-0.3,0.3,-0.5,-0.5,-0.075,-0.625,0.44,-0.01875
-0.3,0.4,-0.5,-0.5,-0.075,-0.625,0.44,-0.01875
0.3,-1.0,0.5,-1.0,0.075,2.6,-1.84,0.01875
0.3,-1.2,0.5,-1.0,0.075,2.6,-1.84,0.01875
0.3,-1.4,0.5,-1.0,0.075,2.6,-1.84,0.01875
0.3,-1.6,0.5,-1.0,0.075,2.6,-1.84,0.01875
0.3,-0.3,0.5,-0.5,0.075,0.625,-0.44,0.01875
0.3,-0.4,0.5,-0.5,0.075,0.625,-0.44,0.01875
0.4,-0.857142857143,0.7,-1.0,0.2058,1.69387755102,-1.47172011662,0.100842
0.4,-1.0,0.7,-1.0,0.2058,1.69387755102,-1.47172011662,0.100842
0.4,-0.514285714286,0.7,-0.9,0.2058,1.43966938776,-0.867386812828,0.100842
0.4,-0.642857142857,0.7,-0.9,0.2058,1.43966938776,-0.867386812828,0.100842
0.4,-0.771428571429,0.7,-0.9,0.2058,1.43966938776,-0.867386812828,0.100842
0.4,-0.9,0.7,-0.9,0.2058,1.43966938776,-0.867386812828,0.100842
0.4,-0.257142857143,0.7,-0.6,0.2058,0.635853061224,-0.334822474636,0.100842
0.4,-0.342857142857,0.7,-0.6,0.2058,0.635853061224,-0.334822474636,0.100842
0.4,-0.428571428571,0.7,-0.6,0.2058,0.635853061224,-0.334822474636,0.100842
0.5,-0.5,0.9,-0.9,0.4374,1.0626,-0.736898133333,0.354294
0.5,-0.6,0.9,-0.9,0.4374,1.0626,-0.736898133333,0.354294
0.5,-0.7,0.9,-0.9,0.4374,1.0626,-0.736898133333,0.354294
0.5,-0.233333333333,0.9,-0.7,0.4374,0.660920987654,-0.330089257613,0.354294
0.5,-0.311111111111,0.9,-0.7,0.4374,0.660920987654,-0.330089257613,0.354294
0.5,-0.388888888889,0.9,-0.7,0.4374,0.660920987654,-0.330089257613,0.354294
0.5,-0.466666666667,0.9,-0.7,0.4374,0.660920987654,-0.330089257613,0.354294
0.5,-0.2,0.9,-0.6,0.4374,0.469155555556,-0.298079762963,0.354294
0.5,-0.266666666667,0.9,-0.6,0.4374,0.469155555556,-0.298079762963,0.354294
